sigla_uf,id_municipio,ano,populacao_atendida_agua,populacao_atendida_esgoto,receita_operacional_direta,receita_operacional_direta_agua,receita_operacional_direta_esgoto,receita_operacional_indireta,receita_operacional_direta_agua_exportada,receita_operacional,receita_operacional_direta_esgoto_importado,arrecadacao_total,credito_areceber,despesa_pessoal,quantidade_empregado,despesa_produto_quimico,despesa_energia,despesa_servico_terceiro,despesa_exploracao,despesas_juros_divida,despesa_total_servico,despesa_ativo,despesa_agua_importada,despesa_fiscal,despesa_fiscal_nao_computada,despesa_exploracao_outro,despesa_servico_outro,despesa_amortizacao_divida,despesas_juros_divida_excecao,despesa_divida_variacao,despesa_divida_total,despesa_esgoto_exportado,despesa_capitalizavel_municipio,despesa_capitalizavel_estado,despesa_capitalizavel_prestador,investimento_agua_prestador,investimento_esgoto_prestador,investimento_outro_prestador,investimento_recurso_proprio_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,investimento_total_prestador,investimento_agua_municipio,investimento_esgoto_municipio,investimento_outro_municipio,investimento_recurso_proprio_municipio,investimento_recurso_oneroso_municipio,investimento_recurso_nao_oneroso_municipio,investimento_total_municipio,investimento_agua_estado,investimento_esgoto_estado,investimento_outro_estado,investimento_recurso_proprio_estado,investimento_recurso_oneroso_estado,investimento_recurso_nao_oneroso_estado,investimento_total_estado
AL,2705606,2018,5276,3000,890750.49,890750.49,0.0,101780.3,0.0,992530.79,0.0,873051.88,2019940.02,842944.93,41,27139.34,162188.72,71711.56,1192710.66,281.93,1722383.94,451939.13,0.0,38726.11,0.0,50000.0,77452.22,1912.5,281.93,0.0,2194.43,0.0,0.0,0.0,0.0,31819.22,0.0,2263.7,34082.92,0.0,0.0,34082.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2707107,2018,18502,8292,6916644.29,5379973.57,1536670.72,645663.77,0.0,7562308.06,0.0,5797457.29,7972207.8,1182450.85,10,10767.12,1316965.35,452822.46,3203020.37,1492.59,6491294.76,2806752.62,0.0,240014.59,0.0,0.0,480029.18,10124.98,1492.59,0.0,11617.57,0.0,0.0,0.0,0.0,0.0,0.0,5695.34,5695.34,0.0,0.0,5695.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723542.56,,0.0,723542.56,0.0,0.0,723542.56
AL,2709152,2021,39000,28000,3585890.95,3585890.95,0.0,0.0,0.0,3585890.95,0.0,3585890.95,2110350.93,1191423.52,90,432802.78,1788387.06,40594.37,3523006.29,0.0,3523006.29,0.0,0.0,69798.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2709301,2017,51589,45617,7664490.57,6121460.76,1543029.81,409151.8,0.0,8073642.37,0.0,8073642.37,2316960.78,4563353.78,104,611834.48,1054814.65,135029.67,8411108.81,0.0,8486185.95,0.0,0.0,98677.5,0.0,1947398.73,75077.14,567240.69,0.0,0.0,567240.69,0.0,0.0,0.0,0.0,43489.9,0.0,31587.24,75077.14,0.0,0.0,75077.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2600104,2017,37017,28791,7056933.3,7056933.3,0.0,219114.21,0.0,7276047.51,0.0,7144860.19,726031.16,2936296.73,40,567406.98,567442.55,1598421.89,7249895.5,264679.19,8149406.4,16748.21,0.0,673471.83,0.0,906855.52,618083.5,394815.53,264679.19,0.0,659494.72,0.0,82500.0,0.0,53192.12,60822.82,527816.81,0.0,138245.56,0.0,503586.19,641831.75,0.0,82500.0,100000.0,265000.0,0.0,0.0,265000.0,5679.55,0.0,0.0,0.0,0.0,5679.55,5679.55
PE,2600609,2019,7210,3780,966797.73,966797.73,0.0,28691.62,0.0,995489.35,0.0,658586.66,361222.4,416619.12,8,0.0,0.0,123647.14,1010364.2,14264.51,1110656.12,6035.07,0.0,92059.61,0.0,378038.33,59992.34,64392.0,14245.61,18.9,78656.51,0.0,0.0,0.0,13698.09,113930.95,0.0,0.0,13698.09,0.0,113930.95,127629.04,0.0,100000.0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2601409,2018,38990,13544,5109052.42,4084306.21,1024746.21,150371.17,0.0,5259423.59,0.0,3496765.91,4633881.54,801260.42,4,175681.34,429697.7,269272.34,3423001.6,100656.37,5510715.07,1986927.27,0.0,484672.16,0.0,1262417.64,129.83,291780.77,100656.37,0.0,392437.14,0.0,,0.0,56876.11,34898.59,101756.96,0.0,193531.66,0.0,0.0,193531.66,,,,,,,,0.0,0.0,330691.5,0.0,273205.1,57486.4,330691.5
PE,2603454,2019,124664,2098,18736386.23,18426915.66,309470.57,529619.37,0.0,19266005.6,0.0,17428653.82,10486705.06,1879174.99,17,8652.62,1815479.21,2136607.22,9650903.29,276065.26,11388534.99,301709.52,0.0,1774351.91,0.0,2036637.34,1159856.92,1260581.34,275699.55,365.71,1536646.6,0.0,,0.0,268163.12,226673.73,24670.23,0.0,423059.49,26077.07,70370.52,519507.08,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2604106,2020,365278,201201,97034775.38,72218928.01,24815847.37,1031826.12,0.0,98066601.5,0.0,87296547.58,27585603.49,14934009.89,121,1993693.23,8923414.96,24513423.23,61979233.2,1454168.28,79610176.63,5433778.54,0.0,4282556.22,921955.47,7332135.67,9821041.14,3830075.39,1450223.87,3944.41,5284243.67,0.0,,0.0,1390959.2,36838435.98,7610774.92,0.0,2456958.67,0.0,43383211.43,45840170.1,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2609402,2018,50534,18550,7008439.57,5628131.95,1380307.62,341878.22,0.0,7350317.79,0.0,6351363.44,4463513.24,842520.83,8,66712.43,661616.01,1006722.14,4915672.52,140672.51,5848992.71,99720.56,0.0,676787.22,0.0,1661313.89,692927.12,407778.79,140672.51,0.0,548451.3,0.0,,0.0,79487.32,80950.53,1121923.94,0.0,1282361.79,0.0,0.0,1282361.79,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
